,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
160,0.6964412927627563,0.6923995018005371,0.6945631504058838,0.6931267380714417,0.6933181881904602,0.6931516528129578,0.6949901580810547,0.695203959941864,0.6923645734786987,0.6939146518707275,0.6918967366218567,0.4795358777046203,0.6918975710868835,0.6929922699928284,0.6933290362358093,0.6956415772438049,0.6907227039337158,0.6923180222511292,0.6928418874740601,0.6915263533592224,0.6939254999160767,0.6933465600013733,0.6936841011047363,0.6804702281951904,0.6940444111824036,0.6931174993515015,0.6919166445732117,0.6933572292327881,0.692979097366333,0.6933006048202515,0.6929564476013184,0.69085693359375,0.6964558959007263,0.6943402290344238
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,0.6983786821365356,0.6925368309020996,0.6949461102485657,0.6930972933769226,0.69215989112854,0.69341641664505,0.6943903565406799,0.6940813660621643,0.6923768520355225,0.6940349340438843,0.6919010877609253,0.473257303237915,0.692251443862915,0.693230390548706,0.6937247514724731,0.6963704824447632,0.6907168030738831,0.6926741600036621,0.6927015781402588,0.691347062587738,0.6934833526611328,0.6934892535209656,0.6931359767913818,0.6789573431015015,0.694225013256073,0.6930689811706543,0.6919108033180237,0.6932910084724426,0.693185031414032,0.6936090588569641,0.6932671070098877,0.6908965110778809,0.6993390917778015,0.6943781971931458
181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,0.6993565559387207,0.6927778720855713,0.6948326230049133,0.6931458115577698,0.6926848888397217,0.6936607956886292,0.6940075755119324,0.693809986114502,0.6934312582015991,0.6936617493629456,0.6919267177581787,0.4738470911979675,0.6919904947280884,0.6933781504631042,0.6937694549560547,0.6953263878822327,0.6907264590263367,0.6928053498268127,0.6931361556053162,0.6913632154464722,0.6935551166534424,0.6924718618392944,0.6941168308258057,0.678314745426178,0.6950200796127319,0.6934320330619812,0.6919006109237671,0.6932080984115601,0.6927001476287842,0.6931923627853394,0.693977415561676,0.6906965374946594,0.6982535719871521,0.694730281829834
201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,0.6991016864776611,0.6926777362823486,0.695038378238678,0.693219780921936,0.6912714242935181,0.6934167742729187,0.6948695182800293,0.6935024261474609,0.6927499175071716,0.6939981579780579,0.6919220685958862,0.4675718545913696,0.6919006109237671,0.6945763230323792,0.6938591003417969,0.6952041387557983,0.6911499500274658,0.6920639872550964,0.6931678056716919,0.6913588047027588,0.6934042572975159,0.6932782530784607,0.6938748955726624,0.6816389560699463,0.6952036023139954,0.6937891244888306,0.6919105052947998,0.6931487917900085,0.6932247281074524,0.6932892799377441,0.6934701800346375,0.6907000541687012,0.6990345120429993,0.694765031337738
221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,0.7005416750907898,0.6924821734428406,0.6934501528739929,0.6932945251464844,0.6916075348854065,0.6933843493461609,0.6947143077850342,0.6936204433441162,0.693421483039856,0.6939204931259155,0.6919470429420471,0.4537999331951141,0.6919018626213074,0.6938651204109192,0.6932587623596191,0.6951358914375305,0.6909759640693665,0.6919081807136536,0.692824125289917,0.6913612484931946,0.6942481398582458,0.6933293342590332,0.6939560770988464,0.681240975856781,0.69463050365448,0.6935503482818604,0.6918977499008179,0.6931520104408264,0.6932817101478577,0.6930978894233704,0.6930983662605286,0.6908791065216064,0.6962422728538513,0.6946973204612732
241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,0.6976587772369385,0.6927299499511719,0.693766713142395,0.6931058764457703,0.6913713812828064,0.6934268474578857,0.6950689554214478,0.693655252456665,0.6921831369400024,0.6938316226005554,0.6923326849937439,0.4514245986938476,0.6919026374816895,0.6944615840911865,0.6933252215385437,0.6933068037033081,0.6909751296043396,0.6918987035751343,0.6926980018615723,0.6913462281227112,0.6936952471733093,0.6922218203544617,0.6935346126556396,0.6820613741874695,0.6958787441253662,0.6933141946792603,0.6918972134590149,0.6932114362716675,0.6930452585220337,0.6932973265647888,0.6930512189865112,0.6914143562316895,0.6959673166275024,0.6949165463447571
261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
