,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
326,,,,,,,,,,,,,,,,
327,,,,,,,,,,,,,,,,
328,,,,,,,,,,,,,,,,
329,,,,,,,,,,,,,,,,
330,,,,,,,,,,,,,,,,
331,,,,,,,,,,,,,,,,
332,,,,,,,,,,,,,,,,
333,,,,,,,,,,,,,,,,
334,,,,,,,,,,,,,,,,
335,,,,,,,,,,,,,,,,
336,,,,,,,,,,,,,,,,
337,,,,,,,,,,,,,,,,
338,,,,,,,,,,,,,,,,
339,,,,,,,,,,,,,,,,
340,0.5866827964782715,0.6941980719566345,0.6918967962265015,0.4109426736831665,0.4523943662643432,0.4755950272083282,0.6933860778808594,0.6925930976867676,0.6924436688423157,0.5049433708190918,0.6133654117584229,0.4329847991466522,0.6920384168624878,0.6957492232322693,0.6930977702140808,0.5394704341888428
341,,,,,,,,,,,,,,,,
342,,,,,,,,,,,,,,,,
343,,,,,,,,,,,,,,,,
344,,,,,,,,,,,,,,,,
345,,,,,,,,,,,,,,,,
346,,,,,,,,,,,,,,,,
347,,,,,,,,,,,,,,,,
348,,,,,,,,,,,,,,,,
349,,,,,,,,,,,,,,,,
350,,,,,,,,,,,,,,,,
351,,,,,,,,,,,,,,,,
352,,,,,,,,,,,,,,,,
353,,,,,,,,,,,,,,,,
354,,,,,,,,,,,,,,,,
355,,,,,,,,,,,,,,,,
356,,,,,,,,,,,,,,,,
357,,,,,,,,,,,,,,,,
358,,,,,,,,,,,,,,,,
359,,,,,,,,,,,,,,,,
360,0.5840789675712585,0.6944108009338379,0.6918976306915283,0.4160194098949432,0.4506250321865082,0.4738127887248993,0.6932699084281921,0.6925073266029358,0.6927266120910645,0.4962329566478729,0.6263903379440308,0.4383101165294647,0.6919397115707397,0.5888260006904602,0.6931089758872986,0.4789145588874817
361,,,,,,,,,,,,,,,,
362,,,,,,,,,,,,,,,,
363,,,,,,,,,,,,,,,,
364,,,,,,,,,,,,,,,,
365,,,,,,,,,,,,,,,,
366,,,,,,,,,,,,,,,,
367,,,,,,,,,,,,,,,,
368,,,,,,,,,,,,,,,,
369,,,,,,,,,,,,,,,,
370,,,,,,,,,,,,,,,,
371,,,,,,,,,,,,,,,,
372,,,,,,,,,,,,,,,,
